Team,Position,Player ,2025 Price,2026 Price,2027 Price,Original Price,Purchase Year,Contract Year,Player Pool
Faybik,RB,Craig Reynolds,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Faybik,WR,Jaxon Smith-Njigba,$17 ,$32 ,$52 ,$2 ,2023,3,Auction
Faybik,WR,Adonai Mitchell,$6 ,$16 ,$31 ,$1 ,2024,2,Rookie Draft
Faybik,WR,Nico Collins,$31 ,$51 ,$76 ,$1 ,2022,4,Auction
Faybik,WR,Darnell Mooney,$6 ,$16 ,$31 ,$1 ,2024,2,Auction
Faybik,WR,Marquez Valdes-Scantling,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Faybik,TE,George Kittle,$20 ,$35 ,$55 ,$5 ,2023,3,Auction
Faybik,TE,Cade Otton,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Faybik,Draft Pick,2026 1.05,$2 ,$2 ,$7 ,$2,,,Rookie Draft
Faybik,Draft Pick,2026 2.06,$1 ,$1 ,$6 ,$1,,,Rookie Draft
Foley,QB,Joe Burrow,$53 ,$63 ,$78 ,$48 ,2024,2,Auction
Foley,QB,Aaron Rodgers,$41 ,$56 ,$76 ,$26 ,2023,3,Auction
Foley,QB,Dorian Thompson-Robinson,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Foley,QB,Aiden O'Connell,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Foley,RB,James Cook,$32 ,$52 ,$77 ,$2 ,2022,4,Auction
Foley,RB,Najee Harris,$16 ,$26 ,$41 ,$11 ,2024,2,Auction
Foley,RB,JK Dobbins,$10 ,$20 ,$35 ,$5 ,2024,2,Auction
Foley,RB,Jonathan Brooks,$7 ,$17 ,$32 ,$2 ,2024,2,Rookie Draft
Foley,RB,Gus Edwards,$16 ,$31 ,$51 ,$1 ,2023,3,Auction
Foley,WR,Jameson Williams,$9 ,$19 ,$34 ,$4 ,2024,2,Auction
Foley,WR,Keon Coleman,$7 ,$17 ,$32 ,$2 ,2024,2,Rookie Draft
Foley,WR,Jakobi Meyers,$6 ,$16 ,$31 ,$1 ,2024,2,Auction
Foley,WR,Quentin Johnston,$6 ,$16 ,$31 ,$1 ,2024,2,Auction
Foley,WR,AJ Brown,$49 ,$59 ,$74 ,$44 ,2024,2,Auction
Foley,WR,Zay Flowers,$17 ,$32 ,$52 ,$2 ,2023,3,Auction
Foley,WR,Garrett Wilson,$32 ,$52 ,$77 ,$2 ,2022,4,Auction
Foley,WR,Hollywood Brown,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Foley,TE,Evan Engram,$25 ,$35 ,$50 ,$20 ,2024,2,Auction
Foley,TE,Zach Ertz,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Foley,Draft Pick,2025 2.09,$1 ,$1 ,$6 ,1,,,Rookie Draft
Foley,Draft Pick,2026 1.06,$2 ,$2 ,$7 ,$2,,,Rookie Draft
Foley,Draft Pick,2026 2.07,$1 ,$1 ,$6 ,$1,,,Rookie Draft
Jared,QB,Brock Purdy,$25 ,$40 ,$60 ,$10 ,2023,3,Auction
Jared,QB,Anthony Richardson,$17 ,$32 ,$52 ,$2 ,2023,3,Auction
Jared,QB,Will Levis,$16 ,$31 ,$51 ,$1 ,2023,3,Auction
Jared,QB,Drew Lock,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jared,RB,Bucky Irving,$7 ,$17 ,$32 ,$2 ,2024,2,Auction
Jared,RB,Bijan Robinson ,$17 ,$32 ,$52 ,$2 ,2023,3,Auction
Jared,RB,Jordan Mason,$7 ,$17 ,$32 ,$2 ,2024,2,Auction
Jared,RB,Jaleel McLaughlin,$11 ,$21 ,$36 ,$6 ,2024,2,Auction
Jared,RB,Tank Bigsby,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jared,WR,Brandon Aiyuk,$36 ,$56 ,$81 ,$6 ,2022,4,Auction
Jared,WR,DeVonta Smith,$20 ,$30 ,$45 ,$15 ,2024,2,Auction
Jared,WR,Dontayvion Wicks,$8 ,$18 ,$33 ,$3 ,2024,2,Auction
Jared,WR,Michael Wilson,$8 ,$18 ,$33 ,$3 ,2024,2,Auction
Jared,WR,Malik Nabers,$7 ,$17 ,$32 ,$2 ,2024,2,Rookie Draft
Jared,WR,Jalen McMillan,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jared,WR,Cedric Tillman,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jared,WR,Kayshon Boutte,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jared,WR,Alec Pierce,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jared,WR,Rashod Bateman,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jared,TE,Brock Bowers,$6 ,$16 ,$31 ,$1 ,2024,2,Rookie Draft
Jared,Draft Pick,2025 1.01,$2 ,$2 ,$7 ,2,,,Rookie Draft
Jared,Draft Pick,2025 1.02,$2 ,$2 ,$7 ,2,,,Rookie Draft
Jared,Draft Pick,2025 2.01,$1 ,$1 ,$6 ,1,,,Rookie Draft
Jared,Draft Pick,2025 2.03,$1 ,$1 ,$6 ,1,,,Rookie Draft
Jared,Draft Pick,2025 2.12,$1 ,$1 ,$6 ,1,,,Rookie Draft
Jared,Draft Pick,2026 1.07,$2 ,$2 ,$7 ,$2,,,Rookie Draft
Jared,Draft Pick,2026 2.08,$1 ,$1 ,$6 ,$1,,,Rookie Draft
Jason,QB,Jayden Daniels,$7 ,$17 ,$32 ,$2 ,2024,2,Rookie Draft
Jason,QB,Lamar Jackson,$55 ,$65 ,$80 ,$50 ,2024,2,Auction
Jason,QB,J.J. McCarthy,$6 ,$16 ,$31 ,$1 ,2024,2,Rookie Draft
Jason,QB,Jameis Winston,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jason,QB,Deshaun Watson,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jason,QB,Trey Lance,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jason,RB,Tyler Allgeier,$8 ,$18 ,$33 ,$3 ,2024,2,Auction
Jason,RB,Emanuel Wilson,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jason,RB,Tyler Badie,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jason,WR,Terry McLaurin,$22 ,$37 ,$57 ,$7 ,2023,3,Auction
Jason,WR,Jordan Addison,$17 ,$32 ,$52 ,$2 ,2023,3,Auction
Jason,WR,Xavier Worthy,$7 ,$17 ,$32 ,$2 ,2024,2,Rookie Draft
Jason,WR,Christian Kirk,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jason,WR,Rashid Shaheed,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jason,WR,Luke McCaffrey,$6 ,$16 ,$31 ,$1 ,2024,2,Auction
Jason,WR,DeMario Douglas,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jason,WR,Jalen Tolbert,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jason,WR,Jermaine Burton,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jason,TE,Mark Andrews,$29 ,$39 ,$54 ,$24 ,2024,2,Auction
Jason,TE,Hunter Henry,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Jason,TE,Ben Sinnott,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
